Manga Series,Author's,Publisher,Demographic,No of Total Volumes,Serialization,Sales (Dollars)
Initial D,Shuichi Shigeno,Kodansha,Seinen,48,1995–2013,56 million
Bad Boys,Hiroshi Tanaka,Shōnen Gahōsha,Seinen,22,1988–1996,55 million
H2,Mitsuru Adachi,Shogakukan,Shōnen,34,1992–1999,55 million
Ranma ½,Rumiko Takahashi,Shogakukan,Shōnen,38,1987–1996,55 million
The Seven Deadly Sins,Nakaba Suzuki,Kodansha,Shōnen,59[h],2012–present[h],55 million
Shura no Mon,Masatoshi Kawahara,Kodansha,Shōnen,79[i],1987–present,55 million
Minami no Teiō,"Dai Tennōji, Rikiya Gō",Nihon Bungeisha,Shōnen,159,1992–present,53 million
Super Radical Gag Family,Kenji Hamaoka,Akita Shoten,Shōnen,101,1993–present,51 million
City Hunter,Tsukasa Hojo,Shueisha,Shōnen,35,1985–1991,50 million
Cobra,Buichi Terasawa,Shueisha,Shōnen,18,1978–1984,50 million
Devilman,Go Nagai,Kodansha,Shōnen,5,1972–1973,50 million
Dragon Quest: The Adventure of Dai,"Riku Sanjo, Koji Inada",Shueisha,Shōnen,37,1989–1996,50 million
Fisherman Sanpei,Takao Yaguchi,Kodansha,Shōnen,65,1973–1983,50 million
Glass Mask,Suzue Miuchi,Hakusensha,Shōjo,49,1976–2012 (on hiatus),50 million
Great Teacher Onizuka,Tooru Fujisawa,Kodansha,Shōnen,25,1997–2002,50 million
Inuyasha,Rumiko Takahashi,Shogakukan,Shōnen,56,1996–2008,50 million
Nana,Ai Yazawa,Shueisha,Shōjo,21,2000–2009 (on hiatus),50 million
Saint Seiya,Masami Kurumada,Shueisha,Shōnen,28,1985–1990,50 million
Shoot!,Tsukasa Ōshima,Kodansha,Shōnen,33,1990–2003,50 million
YuYu Hakusho,Yoshihiro Togashi,Shueisha,Shōnen,19,1990–1994,50 million
Dokaben,Shinji Mizushima,Akita Shoten,Shōnen,48,1972–1981,48 million
Black Jack,Osamu Tezuka,Akita Shoten,Shōnen,25,1973–1983,47.66 million
Kosaku Shima,Kenshi Hirokane,Kodansha,Seinen,106,1983–present,47 million
Tokyo Ghoul,Sui Ishida,Shueisha,Seinen,30,2011–2018,47 million
Crows,Hiroshi Takahashi,Akita Shoten,Shōnen,26,1990–1998,46 million
Sailor Moon,Naoko Takeuchi,Kodansha,Shōjo,18,1991–1997,46 million
Shizukanaru Don – Yakuza Side Story,Tatsuo Nitta,Jitsugyo no Nihon Sha,Seinen,108,1988–2013,46 million
Dear Boys,Hiroki Yagami,Kodansha,Shōnen,81,1989–present,45 million
Shonan Junai Gumi,Tooru Fujisawa,Kodansha,Shōnen,31,1990–1996,45 million
That Time I Got Reincarnated as a Slime,"Fuse, Taiki Kawakami",Kodansha,Shōnen,27,2015–present,45 million
Ace of Diamond,Yuji Terajima,Kodansha,Shōnen,78,2006–2022,44 million
The Promised Neverland,"Kaiu Shirai, Posuka Demizu",Shueisha,Shōnen,20,2016–2020,42 million
Be-Bop High School,Kazuhiro Kiuchi,Kodansha,Seinen,48,1983–2003,40 million
Blue Lock,"Muneyuki Kaneshiro, Yusuke Nomura",Kodansha,Shōnen,31,2018–present,40 million
Cooking Papa,Tochi Ueyama,Kodansha,Seinen,163,1985–present,40 million
Crest of the Royal Family,Chieko Hosokawa,Akita Shoten,Shōjo,68,1976–present,40 million
Kyō Kara Ore Wa!!,Hiroyuki Nishimori,Shogakukan,Shōnen,38,1988–1997,40 million
Yu-Gi-Oh!,Kazuki Takahashi,Shueisha,Shōnen,38,1996–2004,40 million
Nodame Cantabile,Tomoko Ninomiya,Kodansha,Josei,23,2001–2009,39 million
The Apothecary Diaries,"Natsu Hyuga, Minoji Kurata, Nekokurage",Square EnixShogakukan,Seinen,32,2017–present,38 million
Shaman King,Hiroyuki Takei,ShueishaKodansha,Shōnen,32/35,1998–2004,38 million
20th Century Boys,Naoki Urasawa,Shogakukan,Seinen,22,1999–2006,36 million
Kimi ni Todoke,Karuho Shiina,Shueisha,Shōjo,30,2005–2017,36 million
Black Butler,Yana Toboso,Square Enix,Shōnen,34,2006–present,35 million
The Chef,"Mai Tsurugina, Tadashi Katou",Nihon Bungeisha,Seinen,62,1986–2016 (on hiatus),35 million
Dr. Slump,Akira Toriyama,Shueisha,Shōnen,18,1980–1984,35 million
Itazura na Kiss,Kaoru Tada,Shueisha,Shōjo,23,1990–1999,35 million
Salary Man Kintaro,Hiroshi Motomiya,Shueisha,Seinen,45,1994–2016,35 million
